sample_id,total_gbp,coverage,filetype,instrument_model,library_strategy,family_id,paternal_id,maternal_id,gender,relationship,siblings,second_order,third_order,other_comments,phasing,path,filename,paternal_path,paternal_filename,maternal_path,maternal_filename
HG00738,114.87,37.06,cram,Illumina NovaSeq 6000,WGS,PR07,HG00736,HG00737,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG00738/raw_data/Illumina/child/HG00738.final.cram,HG00738.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG00738/Illumina/parents/HG00736/HG00736.final.cram,HG00736.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG00738/Illumina/parents/HG00737/HG00737.final.cram,HG00737.final.cram
HG02615,121.38,39.15,cram,Illumina NovaSeq 6000,WGS,GB29,HG02613,HG02614,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02615/raw_data/Illumina/child/HG02615.final.cram,HG02615.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02615/Illumina/parents/HG02613/HG02613.final.cram,HG02613.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02615/Illumina/parents/HG02614/HG02614.final.cram,HG02614.final.cram
HG00544,110.29,35.58,cram,Illumina NovaSeq 6000,WGS,SH042,HG00542,HG00543,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG00544/raw_data/Illumina/child/HG00544.final.cram,HG00544.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG00544/Illumina/parents/HG00542/HG00542.final.cram,HG00542.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG00544/Illumina/parents/HG00543/HG00543.final.cram,HG00543.final.cram
HG04160,110.32,35.59,cram,Illumina NovaSeq 6000,WGS,BD53,HG04158,HG04159,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG04160/raw_data/Illumina/child/HG04160.final.cram,HG04160.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04160/Illumina/parents/HG04158/HG04158.final.cram,HG04158.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04160/Illumina/parents/HG04159/HG04159.final.cram,HG04159.final.cram
HG04199,110.44,35.63,cram,Illumina NovaSeq 6000,WGS,ST203,HG04100,HG04099,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG04199/raw_data/Illumina/child/HG04199.final.cram,HG04199.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04199/Illumina/parents/HG04100/HG04100.final.cram,HG04100.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04199/Illumina/parents/HG04099/HG04099.final.cram,HG04099.final.cram
HG02647,124.93,40.3,cram,Illumina NovaSeq 6000,WGS,GB38,HG02645,HG02646,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02647/raw_data/Illumina/child/HG02647.final.cram,HG02647.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02647/Illumina/parents/HG02645/HG02645.final.cram,HG02645.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02647/Illumina/parents/HG02646/HG02646.final.cram,HG02646.final.cram
HG04115,108.21,34.91,cram,Illumina NovaSeq 6000,WGS,ST111,HG03896,HG03894,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG04115/raw_data/Illumina/child/HG04115.final.cram,HG04115.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04115/Illumina/parents/HG03896/HG03896.final.cram,HG03896.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04115/Illumina/parents/HG03894/HG03894.final.cram,HG03894.final.cram
HG02809,115.99,37.42,cram,Illumina NovaSeq 6000,WGS,GB63,HG02807,HG02808,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02809/raw_data/Illumina/child/HG02809.final.cram,HG02809.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02809/Illumina/parents/HG02807/HG02807.final.cram,HG02807.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02809/Illumina/parents/HG02808/HG02808.final.cram,HG02808.final.cram
HG02004,115.52,37.26,cram,Illumina NovaSeq 6000,WGS,PEL33,HG02002,HG02003,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02004/raw_data/Illumina/child/HG02004.final.cram,HG02004.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02004/Illumina/parents/HG02002/HG02002.final.cram,HG02002.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02004/Illumina/parents/HG02003/HG02003.final.cram,HG02003.final.cram
HG02293,112.43,36.27,cram,Illumina NovaSeq 6000,WGS,PEL51,HG02291,HG02292,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02293/raw_data/Illumina/child/HG02293.final.cram,HG02293.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02293/Illumina/parents/HG02291/HG02291.final.cram,HG02291.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02293/Illumina/parents/HG02292/HG02292.final.cram,HG02292.final.cram
HG04228,112.7,36.36,cram,Illumina NovaSeq 6000,WGS,ST232,HG04229,HG04227,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG04228/raw_data/Illumina/child/HG04228.final.cram,HG04228.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04228/Illumina/parents/HG04229/HG04229.final.cram,HG04229.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04228/Illumina/parents/HG04227/HG04227.final.cram,HG04227.final.cram
HG01884,116.96,37.73,cram,Illumina NovaSeq 6000,WGS,BB03,HG01885,HG01956,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG01884/raw_data/Illumina/child/HG01884.final.cram,HG01884.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01884/Illumina/parents/HG01885/HG01885.final.cram,HG01885.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01884/Illumina/parents/HG01956/HG01956.final.cram,HG01956.final.cram
HG02135,117.79,38,cram,Illumina NovaSeq 6000,WGS,VN081,HG02137,HG02136,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02135/raw_data/Illumina/child/HG02135.final.cram,HG02135.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02135/Illumina/parents/HG02137/HG02137.final.cram,HG02137.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02135/Illumina/parents/HG02136/HG02136.final.cram,HG02136.final.cram
HG02071,119.46,38.53,cram,Illumina NovaSeq 6000,WGS,VN065,HG02073,HG02072,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02071/raw_data/Illumina/child/HG02071.final.cram,HG02071.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02071/Illumina/parents/HG02073/HG02073.final.cram,HG02073.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02071/Illumina/parents/HG02072/HG02072.final.cram,HG02072.final.cram
HG03710,115.63,37.3,cram,Illumina NovaSeq 6000,WGS,PK62,HG03708,HG03709,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG03710/raw_data/Illumina/child/HG03710.final.cram,HG03710.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03710/Illumina/parents/HG03708/HG03708.final.cram,HG03708.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03710/Illumina/parents/HG03709/HG03709.final.cram,HG03709.final.cram
