sample_id,filetype,filename,path,production,coverage,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,ccs_algorithm,study,accession,bioproject_accession,biosample_accession,generator_contact,generator_facility,library_strategy,library_source,platform,instrument_model,total_gpb,n50,mm_tag,primrose_filename,lima_version
HG02293,bam,m84046_230724_203319_s4.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02293/raw_data/PacBio_HiFi/m84046_230724_203319_s4.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,2.8,,,,7.0.0,SRP305758,SRR29483071,PRJNA701308,SAMN26267394,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,8.72,18053,TRUE,,2.7.1
HG04199,bam,m84046_230703_225306_s4.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_HiFi/m84046_230703_225306_s4.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,30.1,,,,7.0.0,SRP305758,SRR29483253,PRJNA701308,SAMN26267389,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,93.32,18235,TRUE,,2.7.1
HG02132,bam,m84046_230603_204152_s4.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_HiFi/m84046_230603_204152_s4.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,21.7,,,,7.0.0,SRP305758,SRR29483254,PRJNA701308,SAMN26267382,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,67.41,19591,TRUE,,2.7.1
HG04184,bam,m84046_230602_213334_s2.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG04184/raw_data/PacBio_HiFi/m84046_230602_213334_s2.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,5.4,,,,7.0.0,SRP305758,SRR29483255,PRJNA701308,SAMN26267397,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,16.63,18517,TRUE,,2.7.1
HG04184,bam,m84046_230523_001708_s3.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG04184/raw_data/PacBio_HiFi/m84046_230523_001708_s3.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,14.4,,,,7.0.0,SRP305758,SRR29483256,PRJNA701308,SAMN26267397,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,44.68,18546,TRUE,,2.7.1
HG00642,bam,m84046_230531_221339_s3.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_HiFi/m84046_230531_221339_s3.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,17,,,,7.0.0,SRP305758,SRR29483231,PRJNA701308,SAMN26267378,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,52.61,18927,TRUE,,2.7.1
HG02135,bam,m84046_230707_202610_s3.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02135/raw_data/PacBio_HiFi/m84046_230707_202610_s3.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,2.4,,,,7.0.0,SRP305758,SRR29483225,PRJNA701308,SAMN26267392,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,7.38,17040,TRUE,,2.7.1
HG02135,bam,m84046_230712_224626_s1.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02135/raw_data/PacBio_HiFi/m84046_230712_224626_s1.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,2.8,,,,7.0.0,SRP305758,SRR29483224,PRJNA701308,SAMN26267392,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,8.57,17064,TRUE,,2.7.1
HG02135,bam,m84046_230623_210640_s1.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02135/raw_data/PacBio_HiFi/m84046_230623_210640_s1.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,2.2,,,,7.0.0,SRP305758,SRR29483223,PRJNA701308,SAMN26267392,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,6.76,17087,TRUE,,2.7.1
HG02135,bam,m84046_230628_175536_s3.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02135/raw_data/PacBio_HiFi/m84046_230628_175536_s3.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,3.1,,,,7.0.0,SRP305758,SRR29483222,PRJNA701308,SAMN26267392,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,9.5,17194,TRUE,,2.7.1
HG02135,bam,m84046_230602_220440_s3.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02135/raw_data/PacBio_HiFi/m84046_230602_220440_s3.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,7.9,,,,7.0.0,SRP305758,SRR29483221,PRJNA701308,SAMN26267392,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,24.44,17497,TRUE,,2.7.1
HG04115,bam,m84046_230624_201459_s3.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG04115/raw_data/PacBio_HiFi/m84046_230624_201459_s3.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,33.2,,,,7.0.0,SRP305758,SRR29483220,PRJNA701308,SAMN26267388,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,102.79,18817,TRUE,,2.7.1
HG02071,bam,m84046_230712_000908_s4.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02071/raw_data/PacBio_HiFi/m84046_230712_000908_s4.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,24.6,,,,7.0.0,SRP305758,SRR29483200,PRJNA701308,SAMN26267380,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,76.3,17982,TRUE,,2.7.1
HG02300,bam,m84046_230519_231055_s2.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02300/raw_data/PacBio_HiFi/m84046_230519_231055_s2.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,12.8,,,,7.0.0,SRP305758,SRR29483139,PRJNA701308,SAMN26267395,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,39.7,17906,TRUE,,2.7.1
HG02300,bam,m84046_230628_210130_s1.default--default.bam,s3://human-pangenomics/working/HPRC/HG02300/raw_data/PacBio_HiFi/m84046_230628_210130_s1.default--default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,5.5,,,,7.0.0,SRP305758,SRR29483188,PRJNA701308,SAMN26267395,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,17.1,17676,TRUE,,2.7.1
HG02300,bam,m84046_230617_040148_s2.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02300/raw_data/PacBio_HiFi/m84046_230617_040148_s2.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,10.3,,,,7.0.0,SRP305758,SRR29483187,PRJNA701308,SAMN26267395,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,32.05,17663,TRUE,,2.7.1
HG04204,bam,m84046_230623_213746_s2.hifi_reads.bc1003.bam,s3://human-pangenomics/working/HPRC/HG04204/raw_data/PacBio_HiFi/m84046_230623_213746_s2.hifi_reads.bc1003.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,20.1,,,,7.0.0,SRP305758,SRR29483198,PRJNA701308,SAMN26267390,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,62.39,18831,TRUE,,2.7.1
HG02738,bam,m84046_230623_213746_s2.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02738/raw_data/PacBio_HiFi/m84046_230623_213746_s2.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,15.8,,,,7.0.0,SRP305758,SRR29483190,PRJNA701308,SAMN26267396,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,49.06,18680,TRUE,,2.7.1
HG02738,bam,m84046_230628_182559_s4.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02738/raw_data/PacBio_HiFi/m84046_230628_182559_s4.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,11.9,,,,7.0.0,SRP305758,SRR29483189,PRJNA701308,SAMN26267396,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,36.78,18868,TRUE,,2.7.1
HG02074,bam,m84046_230624_204605_s4.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02074/raw_data/PacBio_HiFi/m84046_230624_204605_s4.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,35.7,,,,7.0.0,SRP305758,SRR29483182,PRJNA701308,SAMN26267381,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,110.61,18741,TRUE,,2.7.1
HG03927,bam,m84046_230628_213236_s2.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG03927/raw_data/PacBio_HiFi/m84046_230628_213236_s2.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,16,,,,7.0.0,SRP305758,SRR29483177,PRJNA701308,SAMN26267386,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,49.65,18744,TRUE,,2.7.1
HG00706,bam,m64055e_210731_145204.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/primrose/m64055e_210731_145204.5mc.hifi_reads.bam,RU_Y2_HIFI,8.9,,,,6.0.0,SRP305758,SRR30151653,PRJNA701308,SAMN37706905,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,27.58,16478,TRUE,,
HG00706,bam,m64055e_210812_050522.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/primrose/m64055e_210812_050522.5mc.hifi_reads.bam,RU_Y2_HIFI,7.8,,,,6.0.0,SRP305758,SRR30151652,PRJNA701308,SAMN37706905,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,24.19,16983,TRUE,,
HG00706,bam,m64055e_210813_141904.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/primrose/m64055e_210813_141904.5mc.hifi_reads.bam,RU_Y2_HIFI,9.5,,,,6.0.0,SRP305758,SRR30151641,PRJNA701308,SAMN37706905,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,29.46,17069,TRUE,,
HG00706,bam,m64055e_210814_234047.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/primrose/m64055e_210814_234047.5mc.hifi_reads.bam,RU_Y2_HIFI,9.5,,,,6.0.0,SRP305758,SRR30151636,PRJNA701308,SAMN37706905,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,29.56,17300,TRUE,,
HG03804,bam,m54306Ue_210716_134443.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03804/raw_data/PacBio_HiFi/primrose/m54306Ue_210716_134443.5mc.hifi_reads.bam,RU_Y2_HIFI,6.9,,,,6.0.0,SRP305758,SRR30151631,PRJNA701308,SAMN37706907,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,21.52,17694,TRUE,,
HG03804,bam,m64055e_210709_184151.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03804/raw_data/PacBio_HiFi/primrose/m64055e_210709_184151.5mc.hifi_reads.bam,RU_Y2_HIFI,10.7,,,,6.0.0,SRP305758,SRR30151630,PRJNA701308,SAMN37706907,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,33.21,17950,TRUE,,
HG03804,bam,m64055e_210712_200125.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03804/raw_data/PacBio_HiFi/primrose/m64055e_210712_200125.5mc.hifi_reads.bam,RU_Y2_HIFI,9.3,,,,6.0.0,SRP305758,SRR30151651,PRJNA701308,SAMN37706907,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,28.79,17741,TRUE,,
HG03804,bam,m64055e_210714_052746.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03804/raw_data/PacBio_HiFi/primrose/m64055e_210714_052746.5mc.hifi_reads.bam,RU_Y2_HIFI,9.1,,,,6.0.0,SRP305758,SRR30151650,PRJNA701308,SAMN37706907,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,28.21,17802,TRUE,,
HG03816,bam,m54306Ue_210723_183738.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03816/raw_data/PacBio_HiFi/primrose/m54306Ue_210723_183738.5mc.hifi_reads.bam,RU_Y2_HIFI,7.9,,,,6.0.0,SRP305758,SRR30151649,PRJNA701308,SAMN37706908,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,24.45,16911,TRUE,,
HG03816,bam,m64055e_210726_155147.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03816/raw_data/PacBio_HiFi/primrose/m64055e_210726_155147.5mc.hifi_reads.bam,RU_Y2_HIFI,8.5,,,,6.0.0,SRP305758,SRR30151648,PRJNA701308,SAMN37706908,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,26.33,17160,TRUE,,
HG03816,bam,m64055e_210728_024601.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03816/raw_data/PacBio_HiFi/primrose/m64055e_210728_024601.5mc.hifi_reads.bam,RU_Y2_HIFI,9,,,,6.0.0,SRP305758,SRR30151647,PRJNA701308,SAMN37706908,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,28.04,17827,TRUE,,
HG03816,bam,m64055e_210729_122949.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG03816/raw_data/PacBio_HiFi/primrose/m64055e_210729_122949.5mc.hifi_reads.bam,RU_Y2_HIFI,8.6,,,,6.0.0,SRP305758,SRR30151646,PRJNA701308,SAMN37706908,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,26.61,17420,TRUE,,
HG04157,bam,m54306Ue_210725_040349.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG04157/raw_data/PacBio_HiFi/primrose/m54306Ue_210725_040349.5mc.hifi_reads.bam,RU_Y2_HIFI,8.8,,,,6.0.0,SRP305758,SRR30151645,PRJNA701308,SAMN37706909,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,27.15,17292,TRUE,,
HG04157,bam,m54306Ue_210727_144948.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG04157/raw_data/PacBio_HiFi/primrose/m54306Ue_210727_144948.5mc.hifi_reads.bam,RU_Y2_HIFI,8.9,,,,6.0.0,SRP305758,SRR30151644,PRJNA701308,SAMN37706909,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,27.66,17339,TRUE,,
HG04157,bam,m54306Ue_210729_003128.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG04157/raw_data/PacBio_HiFi/primrose/m54306Ue_210729_003128.5mc.hifi_reads.bam,RU_Y2_HIFI,8.4,,,,6.0.0,SRP305758,SRR30151643,PRJNA701308,SAMN37706909,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,25.99,17191,TRUE,,
HG04157,bam,m54306Ue_210730_180007.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG04157/raw_data/PacBio_HiFi/primrose/m54306Ue_210730_180007.5mc.hifi_reads.bam,RU_Y2_HIFI,8.7,,,,6.0.0,SRP305758,SRR30151642,PRJNA701308,SAMN37706909,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,26.91,16708,TRUE,,
HG04160,bam,m54306Ue_210713_140744.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG04160/raw_data/PacBio_HiFi/primrose/m54306Ue_210713_140744.5mc.hifi_reads.bam,RU_Y2_HIFI,8.6,,,,6.0.0,SRP305758,SRR30151640,PRJNA701308,SAMN37706910,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,26.72,16378,TRUE,,
HG04160,bam,m54306Ue_210715_000620.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG04160/raw_data/PacBio_HiFi/primrose/m54306Ue_210715_000620.5mc.hifi_reads.bam,RU_Y2_HIFI,7.4,,,,6.0.0,SRP305758,SRR30151639,PRJNA701308,SAMN37706910,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,22.93,15822,TRUE,,
HG04160,bam,m64055e_210711_053617.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG04160/raw_data/PacBio_HiFi/primrose/m64055e_210711_053617.5mc.hifi_reads.bam,RU_Y2_HIFI,8.5,,,,6.0.0,SRP305758,SRR30151638,PRJNA701308,SAMN37706910,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,26.42,16006,TRUE,,
HG04160,bam,m64055e_210715_181933.5mc.hifi_reads.bam,s3://human-pangenomics/working/HPRC/HG04160/raw_data/PacBio_HiFi/primrose/m64055e_210715_181933.5mc.hifi_reads.bam,RU_Y2_HIFI,6.9,,,,6.0.0,SRP305758,SRR30151637,PRJNA701308,SAMN37706910,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Sequel II,21.54,14386,TRUE,,
HG00706,bam,m84091_230817_140121_s1.hifi_reads.bc1011.bam,s3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_HiFi/m84091_230817_140121_s1.hifi_reads.bc1011.bam,RU_Y2_topoff,25.4,,,,7.0.0,SRP305758,SRR30338074,PRJNA701308,SAMN37706905,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Revio,78.59,20221,TRUE,,2.7.1
HG04187,bam,m84091_230802_173218_s2.hifi_reads.bc1001.bam,s3://human-pangenomics/working/HPRC/HG04187/raw_data/PacBio_HiFi/m84091_230802_173218_s2.hifi_reads.bc1001.bam,RU_Y2_topoff,28.4,,,,7.0.0,SRP305758,SRR30338073,PRJNA701308,SAMN37706911,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Revio,87.9,19041,TRUE,,2.7.1
HG03804,bam,m84091_230804_181137_s4.hifi_reads.bc1002.bam,s3://human-pangenomics/working/HPRC/HG03804/raw_data/PacBio_HiFi/m84091_230804_181137_s4.hifi_reads.bc1002.bam,RU_Y2_topoff,33.6,,,,7.0.0,SRP305758,SRR30338068,PRJNA701308,SAMN37706907,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Revio,104.08,18311,TRUE,,2.7.1
HG04160,bam,m84091_230802_180324_s3.hifi_reads.bc1003.bam,s3://human-pangenomics/working/HPRC/HG04160/raw_data/PacBio_HiFi/m84091_230802_180324_s3.hifi_reads.bc1003.bam,RU_Y2_topoff,27.1,,,,7.0.0,SRP305758,SRR30338069,PRJNA701308,SAMN37706910,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Revio,84.01,19409,TRUE,,2.7.1
HG03816,bam,m84091_230802_183430_s4.hifi_reads.bc1009.bam,s3://human-pangenomics/working/HPRC/HG03816/raw_data/PacBio_HiFi/m84091_230802_183430_s4.hifi_reads.bc1009.bam,RU_Y2_topoff,25.9,,,,7.0.0,SRP305758,SRR30338070,PRJNA701308,SAMN37706908,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Revio,80.31,18532,TRUE,,2.7.1
HG04157,bam,m84091_230817_143140_s2.hifi_reads.bc1008.bam,s3://human-pangenomics/working/HPRC/HG04157/raw_data/PacBio_HiFi/m84091_230817_143140_s2.hifi_reads.bc1008.bam,RU_Y2_topoff,25.5,,,,7.0.0,SRP305758,SRR30338072,PRJNA701308,SAMN37706909,vgl-lab@rockefeller.edu,Rockefeller University,WGS,GENOMIC,PACBIO_SMRT,Revio,79.14,18837,TRUE,,2.7.1
HG01993,bam,m84081_231119_015049_s1.hifi_reads.bc2085.bam,s3://human-pangenomics/working/HPRC/HG01993/raw_data/PacBio_HiFi/m84081_231119_015049_s1.hifi_reads.bc2085.bam,WUSTL_HPRC_HiFi_Year2_TopUp,10.7,,,,7.0.0,SRP305758,SRR30545942,PRJNA701308,SAMN26237501,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,33.21,21553,TRUE,,2.7.1
HG01993,bam,m84081_231119_022155_s2.hifi_reads.bc2085.bam,s3://human-pangenomics/working/HPRC/HG01993/raw_data/PacBio_HiFi/m84081_231119_022155_s2.hifi_reads.bc2085.bam,WUSTL_HPRC_HiFi_Year2_TopUp,11.6,,,,7.0.0,SRP305758,SRR30545931,PRJNA701308,SAMN26237501,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,35.86,21556,TRUE,,2.7.1
HG01993,bam,m84081_231119_025301_s3.hifi_reads.bc2085.bam,s3://human-pangenomics/working/HPRC/HG01993/raw_data/PacBio_HiFi/m84081_231119_025301_s3.hifi_reads.bc2085.bam,WUSTL_HPRC_HiFi_Year2_TopUp,11,,,,7.0.0,SRP305758,SRR30545920,PRJNA701308,SAMN26237501,tgraves@wustl.edu,Washington University,WGS,GENOMIC,PACBIO_SMRT,Revio,34.05,21586,TRUE,,2.7.1
