sample_id,path,total_reads,filename,study,bioproject_accession,accession,biosample_accession,generator_facility,production,iso_filename,platform_unit_1,platform_unit_2,barcode,platform,instrument_model,ccs_algorithm,library_strategy,library_source,pool,generator_contact
HG04187,s3://human-pangenomics/working/HPRC/HG04187/raw_data/PacBio_Kinnex/HG04187.lymph.m84046_240713_091428_s4.flnc.bam,6438964,HG04187.lymph.m84046_240713_091428_s4.flnc.bam,SRP305758,PRJNA701308,,,University of Washington,UW_HPRC_Y5_Kinnex,flnc-8.bam,m84046_240713_091428_s4,NA,bc12,PACBIO,REVIO,8.0.1,isoseq,transcriptomic,HPRC_Pool003.KN,iviolich@ucsc.edu
HG04187,s3://human-pangenomics/working/HPRC/HG04187/raw_data/PacBio_Kinnex/HG04187.lymph.m84046_240717_125059_s3.flnc.bam,7910689,HG04187.lymph.m84046_240717_125059_s3.flnc.bam,SRP305758,PRJNA701308,,,University of Washington,UW_HPRC_Y5_Kinnex,flnc-8.bam,m84046_240717_125059_s3,NA,bc12,PACBIO,REVIO,8.0.1,isoseq,transcriptomic,HPRC_Pool003.KN,iviolich@ucsc.edu
HG00544,s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_Kinnex/HG00544.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,16109300,HG00544.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-1.bam,m84081_240712_233953_s3,m84081_240714_053249_s2,bc01,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool3,iviolich@ucsc.edu
HG00609,s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_Kinnex/HG00609.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam,22317518,HG00609.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-2.bam,m84081_240715_195907_s2,m84081_240715_215836_s1,bc02,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool6,iviolich@ucsc.edu
HG00642,s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_Kinnex/HG00642.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,22234824,HG00642.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-2.bam,m84081_240712_233953_s3,m84081_240714_053249_s2,bc02,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool3,iviolich@ucsc.edu
HG00706,s3://human-pangenomics/working/HPRC/HG00706/raw_data/PacBio_Kinnex/HG00706.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,18556044,HG00706.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-3.bam,m84081_240712_233953_s3,m84081_240714_053249_s2,bc03,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool3,iviolich@ucsc.edu
HG00738,s3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_Kinnex/HG00738.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,12066735,HG00738.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-4.bam,m84081_240712_233953_s3,m84081_240714_053249_s2,bc04,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool3,iviolich@ucsc.edu
HG01099,s3://human-pangenomics/working/HPRC/HG01099/raw_data/PacBio_Kinnex/HG01099.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam,13316490,HG01099.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-3.bam,m84081_240715_195907_s2,m84081_240715_215836_s1,bc03,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool6,iviolich@ucsc.edu
HG01255,s3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_Kinnex/HG01255.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,15967591,HG01255.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-5.bam,m84081_240712_233953_s3,m84081_240714_053249_s2,bc05,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool3,iviolich@ucsc.edu
HG01346,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_Kinnex/HG01346.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,20299109,HG01346.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-6.bam,m84081_240712_233953_s3,m84081_240714_053249_s2,bc06,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool3,iviolich@ucsc.edu
HG01496,s3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_Kinnex/HG01496.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam,18989268,HG01496.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-6.bam,m84081_240715_195907_s2,m84081_240715_215836_s1,bc06,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool6,iviolich@ucsc.edu
HG01884,s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_Kinnex/HG01884.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam,17230581,HG01884.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-7.bam,m84081_240715_195907_s2,m84081_240715_215836_s1,bc07,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool6,iviolich@ucsc.edu
HG01943,s3://human-pangenomics/working/HPRC/HG01943/raw_data/PacBio_Kinnex/HG01943.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,19708108,HG01943.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-5.bam,m84081_240715_235807_s3,m84081_240716_015737_s4,bc09,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool7,iviolich@ucsc.edu
HG01981,s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_Kinnex/HG01981.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,21593908,HG01981.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-6.bam,m84081_240715_235807_s3,m84081_240716_015737_s4,bc10,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool7,iviolich@ucsc.edu
HG01993,s3://human-pangenomics/working/HPRC/HG01993/raw_data/PacBio_Kinnex/HG01993.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,16580497,HG01993.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-7.bam,m84081_240715_235807_s3,m84081_240716_015737_s4,bc11,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool7,iviolich@ucsc.edu
HG02004,s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_Kinnex/HG02004.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,16359794,HG02004.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-8.bam,m84081_240715_235807_s3,m84081_240716_015737_s4,bc12,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool7,iviolich@ucsc.edu
HG02280,s3://human-pangenomics/working/HPRC/HG02280/raw_data/PacBio_Kinnex/HG02280.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,21286278,HG02280.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-2.bam,m84081_240715_235807_s3,m84081_240716_015737_s4,bc02,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool7,iviolich@ucsc.edu
HG02293,s3://human-pangenomics/working/HPRC/HG02293/raw_data/PacBio_Kinnex/HG02293.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,19494100,HG02293.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-3.bam,m84081_240715_235807_s3,m84081_240716_015737_s4,bc03,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool7,iviolich@ucsc.edu
HG02300,s3://human-pangenomics/working/HPRC/HG02300/raw_data/PacBio_Kinnex/HG02300.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,19252767,HG02300.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-4.bam,m84081_240715_235807_s3,m84081_240716_015737_s4,bc04,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool7,iviolich@ucsc.edu
HG02602,s3://human-pangenomics/working/HPRC/HG02602/raw_data/PacBio_Kinnex/HG02602.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,19086197,HG02602.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-7.bam,m84081_240712_233953_s3,m84081_240714_053249_s2,bc07,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool3,iviolich@ucsc.edu
HG02615,s3://human-pangenomics/working/HPRC/HG02615/raw_data/PacBio_Kinnex/HG02615.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,17003779,HG02615.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-8.bam,m84081_240712_233953_s3,m84081_240714_053249_s2,bc08,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool3,iviolich@ucsc.edu
HG02647,s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_Kinnex/HG02647.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam,17358721,HG02647.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-5.bam,m84081_240713_013912_s4,m84081_240714_073231_s1,bc09,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool4,iviolich@ucsc.edu
HG02698,s3://human-pangenomics/working/HPRC/HG02698/raw_data/PacBio_Kinnex/HG02698.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam,16574574,HG02698.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-7.bam,m84081_240713_013912_s4,m84081_240714_073231_s1,bc11,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool4,iviolich@ucsc.edu
HG02738,s3://human-pangenomics/working/HPRC/HG02738/raw_data/PacBio_Kinnex/HG02738.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam,15035241,HG02738.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-4.bam,m84081_240717_055117_s2,m84081_240717_075054_s1,bc08,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool8,iviolich@ucsc.edu
HG02809,s3://human-pangenomics/working/HPRC/HG02809/raw_data/PacBio_Kinnex/HG02809.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam,20993500,HG02809.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-5.bam,m84081_240717_055117_s2,m84081_240717_075054_s1,bc09,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool8,iviolich@ucsc.edu
HG03669,s3://human-pangenomics/working/HPRC/HG03669/raw_data/PacBio_Kinnex/HG03669.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam,11868526,HG03669.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-1.bam,m84081_240713_013912_s4,m84081_240714_073231_s1,bc01,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool4,iviolich@ucsc.edu
HG03710,s3://human-pangenomics/working/HPRC/HG03710/raw_data/PacBio_Kinnex/HG03710.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam,19783115,HG03710.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-3.bam,m84081_240713_013912_s4,m84081_240714_073231_s1,bc03,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool4,iviolich@ucsc.edu
HG03804,s3://human-pangenomics/working/HPRC/HG03804/raw_data/PacBio_Kinnex/HG03804.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam,19533765,HG03804.lymph.m84081_240713_013912_s4-m84081_240714_073231_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-4.bam,m84081_240713_013912_s4,m84081_240714_073231_s1,bc04,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool4,iviolich@ucsc.edu
HG03816,s3://human-pangenomics/working/HPRC/HG03816/raw_data/PacBio_Kinnex/HG03816.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,17784728,HG03816.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-1.bam,m84081_240712_214014_s1,m84081_240717_114954_s4,bc05,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool5,iviolich@ucsc.edu
HG03831,s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_Kinnex/HG03831.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam,20725252,HG03831.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-7.bam,m84081_240717_055117_s2,m84081_240717_075054_s1,bc11,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool8,iviolich@ucsc.edu
HG03927,s3://human-pangenomics/working/HPRC/HG03927/raw_data/PacBio_Kinnex/HG03927.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,17408754,HG03927.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-2.bam,m84081_240712_214014_s1,m84081_240717_114954_s4,bc06,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool5,iviolich@ucsc.edu
HG04115,s3://human-pangenomics/working/HPRC/HG04115/raw_data/PacBio_Kinnex/HG04115.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,18372188,HG04115.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-3.bam,m84081_240712_214014_s1,m84081_240717_114954_s4,bc07,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool5,iviolich@ucsc.edu
HG04157,s3://human-pangenomics/working/HPRC/HG04157/raw_data/PacBio_Kinnex/HG04157.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,15201610,HG04157.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-4.bam,m84081_240712_214014_s1,m84081_240717_114954_s4,bc08,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool5,iviolich@ucsc.edu
HG04160,s3://human-pangenomics/working/HPRC/HG04160/raw_data/PacBio_Kinnex/HG04160.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,22162092,HG04160.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-5.bam,m84081_240712_214014_s1,m84081_240717_114954_s4,bc09,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool5,iviolich@ucsc.edu
HG04184,s3://human-pangenomics/working/HPRC/HG04184/raw_data/PacBio_Kinnex/HG04184.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam,17810995,HG04184.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-8.bam,m84081_240717_055117_s2,m84081_240717_075054_s1,bc12,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool8,iviolich@ucsc.edu
HG04199,s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_Kinnex/HG04199.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,17566071,HG04199.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-6.bam,m84081_240712_214014_s1,m84081_240717_114954_s4,bc10,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool5,iviolich@ucsc.edu
HG04204,s3://human-pangenomics/working/HPRC/HG04204/raw_data/PacBio_Kinnex/HG04204.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,20424547,HG04204.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-7.bam,m84081_240712_214014_s1,m84081_240717_114954_s4,bc11,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool5,iviolich@ucsc.edu
HG04228,s3://human-pangenomics/working/HPRC/HG04228/raw_data/PacBio_Kinnex/HG04228.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,18299689,HG04228.lymph.m84081_240712_214014_s1-m84081_240717_114954_s4.flnc.bam,SRP305758,PRJNA701308,,,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-8.bam,m84081_240712_214014_s1,m84081_240717_114954_s4,bc12,PACBIO,REVIO,8.0.0,isoseq,transcriptomic,HPRC_Kinnex_Pool5,iviolich@ucsc.edu
