sample_id,filename,accession,study,bioproject_accession,biosample_accession,library_strategy,library_source,platform,instrument_model,generator_facility,generator_contact,filetype,coverage,path,total_gbp,production
HG00642,HG00642-33b-1_S9_L003_R1_001.fastq.gz,SRR30613873,SRP305758,PRJNA701308,SAMN26267378,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,6.67,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L003_R1_001.fastq.gz,20.68,HiC
HG00642,HG00642-33b-1_S9_L004_R1_001.fastq.gz,SRR30613860,SRP305758,PRJNA701308,SAMN26267378,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,6.53,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L004_R1_001.fastq.gz,20.23,HiC
HG00642,HG00642-33b-2_S10_L001_R1_001.fastq.gz,SRR30613753,SRP305758,PRJNA701308,SAMN26267378,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.98,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-2_S10_L001_R1_001.fastq.gz,18.55,HiC
HG00642,HG00642-33b-2_S10_L002_R1_001.fastq.gz,SRR30613744,SRP305758,PRJNA701308,SAMN26267378,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.86,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-2_S10_L002_R1_001.fastq.gz,18.17,HiC
HG00642,HG00642-33b-2_S10_L003_R1_001.fastq.gz,SRR30613694,SRP305758,PRJNA701308,SAMN26267378,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.87,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-2_S10_L003_R1_001.fastq.gz,18.2,HiC
HG00642,HG00642-33b-2_S10_L004_R1_001.fastq.gz,SRR30613683,SRP305758,PRJNA701308,SAMN26267378,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.72,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-2_S10_L004_R1_001.fastq.gz,17.74,HiC
HG00706,HG00706-30b-1_S7_L001_R1_001.fastq.gz,SRR30613600,SRP305758,PRJNA701308,SAMN37706905,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,10.83,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-1_S7_L001_R1_001.fastq.gz,33.57,HiC
HG00706,HG00706-30b-1_S7_L002_R1_001.fastq.gz,SRR30613586,SRP305758,PRJNA701308,SAMN37706905,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,10.1,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-1_S7_L002_R1_001.fastq.gz,31.3,HiC
HG00706,HG00706-30b-1_S7_L003_R1_001.fastq.gz,SRR30613671,SRP305758,PRJNA701308,SAMN37706905,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,9.9,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-1_S7_L003_R1_001.fastq.gz,30.68,HiC
HG00706,HG00706-30b-1_S7_L004_R1_001.fastq.gz,SRR30613844,SRP305758,PRJNA701308,SAMN37706905,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,10.86,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-1_S7_L004_R1_001.fastq.gz,33.66,HiC
HG00706,HG00706-30b-2_S8_L001_R1_001.fastq.gz,SRR30613841,SRP305758,PRJNA701308,SAMN37706905,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,10.8,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-2_S8_L001_R1_001.fastq.gz,33.49,HiC
HG00706,HG00706-30b-2_S8_L002_R1_001.fastq.gz,SRR30613840,SRP305758,PRJNA701308,SAMN37706905,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,10.49,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-2_S8_L002_R1_001.fastq.gz,32.51,HiC
HG00706,HG00706-30b-2_S8_L003_R1_001.fastq.gz,SRR30613839,SRP305758,PRJNA701308,SAMN37706905,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,10.27,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-2_S8_L003_R1_001.fastq.gz,31.84,HiC
HG00706,HG00706-30b-2_S8_L004_R1_001.fastq.gz,SRR30613838,SRP305758,PRJNA701308,SAMN37706905,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,10.95,s3://human-pangenomics/working/HPRC/HG00706/raw_data/hic/HG00706-30b-2_S8_L004_R1_001.fastq.gz,33.95,HiC
HG00738,HG00738-27a-1_S5_L001_R1_001.fastq.gz,SRR30613836,SRP305758,PRJNA701308,SAMN26237493,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.93,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-1_S5_L001_R1_001.fastq.gz,18.37,HiC
HG00738,HG00738-27a-1_S5_L002_R1_001.fastq.gz,SRR30613580,SRP305758,PRJNA701308,SAMN26237493,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.97,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-1_S5_L002_R1_001.fastq.gz,15.42,HiC
HG00738,HG00738-27a-1_S5_L003_R1_001.fastq.gz,SRR30613835,SRP305758,PRJNA701308,SAMN26237493,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.94,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-1_S5_L003_R1_001.fastq.gz,15.33,HiC
HG00738,HG00738-27a-1_S5_L004_R1_001.fastq.gz,SRR30613834,SRP305758,PRJNA701308,SAMN26237493,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.78,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-1_S5_L004_R1_001.fastq.gz,17.92,HiC
HG00738,HG00738-27a-2_S6_L001_R1_001.fastq.gz,SRR30613833,SRP305758,PRJNA701308,SAMN26237493,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,6.76,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-2_S6_L001_R1_001.fastq.gz,20.97,HiC
HG00738,HG00738-27a-2_S6_L002_R1_001.fastq.gz,SRR30613829,SRP305758,PRJNA701308,SAMN26237493,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.86,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-2_S6_L002_R1_001.fastq.gz,18.18,HiC
HG00738,HG00738-27a-2_S6_L003_R1_001.fastq.gz,SRR30613825,SRP305758,PRJNA701308,SAMN26237493,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.78,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-2_S6_L003_R1_001.fastq.gz,17.93,HiC
HG00738,HG00738-27a-2_S6_L004_R1_001.fastq.gz,SRR30613824,SRP305758,PRJNA701308,SAMN26237493,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,6.61,s3://human-pangenomics/working/HPRC/HG00738/raw_data/hic/HG00738-27a-2_S6_L004_R1_001.fastq.gz,20.5,HiC
HG01099,HG01099-48d-1_S9_L001_R1_001.fastq.gz,SRR30613670,SRP305758,PRJNA701308,SAMN26237494,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,14.3,s3://human-pangenomics/working/HPRC/HG01099/raw_data/hic/HG01099-48d-1_S9_L001_R1_001.fastq.gz,44.35,HiC
HG01099,HG01099-48d-1_S9_L002_R1_001.fastq.gz,SRR30613669,SRP305758,PRJNA701308,SAMN26237494,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,14.27,s3://human-pangenomics/working/HPRC/HG01099/raw_data/hic/HG01099-48d-1_S9_L002_R1_001.fastq.gz,44.25,HiC
HG01099,HG01099-48d-1_S9_L003_R1_001.fastq.gz,SRR30613667,SRP305758,PRJNA701308,SAMN26237494,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,13.86,s3://human-pangenomics/working/HPRC/HG01099/raw_data/hic/HG01099-48d-1_S9_L003_R1_001.fastq.gz,42.97,HiC
HG01099,HG01099-48d-1_S9_L004_R1_001.fastq.gz,SRR30613666,SRP305758,PRJNA701308,SAMN26237494,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,13.43,s3://human-pangenomics/working/HPRC/HG01099/raw_data/hic/HG01099-48d-1_S9_L004_R1_001.fastq.gz,41.65,HiC
HG01099,HG01099-48d-2_S10_L001_R1_001.fastq.gz,SRR30613665,SRP305758,PRJNA701308,SAMN26237494,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,11.02,s3://human-pangenomics/working/HPRC/HG01099/raw_data/hic/HG01099-48d-2_S10_L001_R1_001.fastq.gz,34.16,HiC
HG01099,HG01099-48d-2_S10_L002_R1_001.fastq.gz,SRR30613663,SRP305758,PRJNA701308,SAMN26237494,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,10.92,s3://human-pangenomics/working/HPRC/HG01099/raw_data/hic/HG01099-48d-2_S10_L002_R1_001.fastq.gz,33.84,HiC
HG01099,HG01099-48d-2_S10_L003_R1_001.fastq.gz,SRR30613662,SRP305758,PRJNA701308,SAMN26237494,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,10.22,s3://human-pangenomics/working/HPRC/HG01099/raw_data/hic/HG01099-48d-2_S10_L003_R1_001.fastq.gz,31.69,HiC
HG01099,HG01099-48d-2_S10_L004_R1_001.fastq.gz,SRR30613660,SRP305758,PRJNA701308,SAMN26237494,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,9.61,s3://human-pangenomics/working/HPRC/HG01099/raw_data/hic/HG01099-48d-2_S10_L004_R1_001.fastq.gz,29.79,HiC
HG01255,HG01255-22b-1_S1_L001_R1_001.fastq.gz,SRR30613659,SRP305758,PRJNA701308,SAMN26237495,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.38,s3://human-pangenomics/working/HPRC/HG01255/raw_data/hic/HG01255-22b-1_S1_L001_R1_001.fastq.gz,16.68,HiC
HG01255,HG01255-22b-1_S1_L002_R1_001.fastq.gz,SRR30613658,SRP305758,PRJNA701308,SAMN26237495,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.22,s3://human-pangenomics/working/HPRC/HG01255/raw_data/hic/HG01255-22b-1_S1_L002_R1_001.fastq.gz,16.2,HiC
HG01255,HG01255-22b-1_S1_L003_R1_001.fastq.gz,SRR30613657,SRP305758,PRJNA701308,SAMN26237495,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.98,s3://human-pangenomics/working/HPRC/HG01255/raw_data/hic/HG01255-22b-1_S1_L003_R1_001.fastq.gz,15.43,HiC
HG01255,HG01255-22b-1_S1_L004_R1_001.fastq.gz,SRR30613656,SRP305758,PRJNA701308,SAMN26237495,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.36,s3://human-pangenomics/working/HPRC/HG01255/raw_data/hic/HG01255-22b-1_S1_L004_R1_001.fastq.gz,16.62,HiC
HG01255,HG01255-22b-2_S2_L001_R1_001.fastq.gz,SRR30613654,SRP305758,PRJNA701308,SAMN26237495,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,7.93,s3://human-pangenomics/working/HPRC/HG01255/raw_data/hic/HG01255-22b-2_S2_L001_R1_001.fastq.gz,24.59,HiC
HG01255,HG01255-22b-2_S2_L002_R1_001.fastq.gz,SRR30613652,SRP305758,PRJNA701308,SAMN26237495,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,7.14,s3://human-pangenomics/working/HPRC/HG01255/raw_data/hic/HG01255-22b-2_S2_L002_R1_001.fastq.gz,22.13,HiC
HG01255,HG01255-22b-2_S2_L003_R1_001.fastq.gz,SRR30613651,SRP305758,PRJNA701308,SAMN26237495,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,7.17,s3://human-pangenomics/working/HPRC/HG01255/raw_data/hic/HG01255-22b-2_S2_L003_R1_001.fastq.gz,22.24,HiC
HG01255,HG01255-22b-2_S2_L004_R1_001.fastq.gz,SRR30613650,SRP305758,PRJNA701308,SAMN26237495,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,7.97,s3://human-pangenomics/working/HPRC/HG01255/raw_data/hic/HG01255-22b-2_S2_L004_R1_001.fastq.gz,24.72,HiC
HG01346,HG01346-35a-1_S13_L001_R1_001.fastq.gz,SRR30613832,SRP305758,PRJNA701308,SAMN26267379,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.19,s3://human-pangenomics/working/HPRC/HG01346/raw_data/hic/HG01346-35a-1_S13_L001_R1_001.fastq.gz,16.08,HiC
HG01346,HG01346-35a-1_S13_L002_R1_001.fastq.gz,SRR30613830,SRP305758,PRJNA701308,SAMN26267379,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.09,s3://human-pangenomics/working/HPRC/HG01346/raw_data/hic/HG01346-35a-1_S13_L002_R1_001.fastq.gz,15.78,HiC
HG01346,HG01346-35a-1_S13_L003_R1_001.fastq.gz,SRR30613828,SRP305758,PRJNA701308,SAMN26267379,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.19,s3://human-pangenomics/working/HPRC/HG01346/raw_data/hic/HG01346-35a-1_S13_L003_R1_001.fastq.gz,16.1,HiC
HG01346,HG01346-35a-1_S13_L004_R1_001.fastq.gz,SRR30613672,SRP305758,PRJNA701308,SAMN26267379,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.96,s3://human-pangenomics/working/HPRC/HG01346/raw_data/hic/HG01346-35a-1_S13_L004_R1_001.fastq.gz,15.38,HiC
HG01346,HG01346-35a-2_S14_L001_R1_001.fastq.gz,SRR30613827,SRP305758,PRJNA701308,SAMN26267379,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.69,s3://human-pangenomics/working/HPRC/HG01346/raw_data/hic/HG01346-35a-2_S14_L001_R1_001.fastq.gz,14.54,HiC
HG01346,HG01346-35a-2_S14_L002_R1_001.fastq.gz,SRR30613826,SRP305758,PRJNA701308,SAMN26267379,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.6,s3://human-pangenomics/working/HPRC/HG01346/raw_data/hic/HG01346-35a-2_S14_L002_R1_001.fastq.gz,14.27,HiC
HG01346,HG01346-35a-2_S14_L003_R1_001.fastq.gz,SRR30613822,SRP305758,PRJNA701308,SAMN26267379,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.7,s3://human-pangenomics/working/HPRC/HG01346/raw_data/hic/HG01346-35a-2_S14_L003_R1_001.fastq.gz,14.56,HiC
HG01346,HG01346-35a-2_S14_L004_R1_001.fastq.gz,SRR30613821,SRP305758,PRJNA701308,SAMN26267379,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.49,s3://human-pangenomics/working/HPRC/HG01346/raw_data/hic/HG01346-35a-2_S14_L004_R1_001.fastq.gz,13.93,HiC
HG01496,HG01496-43a-1_S13_L001_R1_001.fastq.gz,SRR30613819,SRP305758,PRJNA701308,SAMN26237497,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.39,s3://human-pangenomics/working/HPRC/HG01496/raw_data/hic/HG01496-43a-1_S13_L001_R1_001.fastq.gz,16.71,HiC
HG01496,HG01496-43a-1_S13_L002_R1_001.fastq.gz,SRR30613818,SRP305758,PRJNA701308,SAMN26237497,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.4,s3://human-pangenomics/working/HPRC/HG01496/raw_data/hic/HG01496-43a-1_S13_L002_R1_001.fastq.gz,13.63,HiC
HG01496,HG01496-43a-1_S13_L003_R1_001.fastq.gz,SRR30613664,SRP305758,PRJNA701308,SAMN26237497,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.47,s3://human-pangenomics/working/HPRC/HG01496/raw_data/hic/HG01496-43a-1_S13_L003_R1_001.fastq.gz,13.85,HiC
HG01496,HG01496-43a-1_S13_L004_R1_001.fastq.gz,SRR30613817,SRP305758,PRJNA701308,SAMN26237497,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.31,s3://human-pangenomics/working/HPRC/HG01496/raw_data/hic/HG01496-43a-1_S13_L004_R1_001.fastq.gz,16.45,HiC
HG01496,HG01496-43a-2_S14_L001_R1_001.fastq.gz,SRR30613816,SRP305758,PRJNA701308,SAMN26237497,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.63,s3://human-pangenomics/working/HPRC/HG01496/raw_data/hic/HG01496-43a-2_S14_L001_R1_001.fastq.gz,14.37,HiC
HG01496,HG01496-43a-2_S14_L002_R1_001.fastq.gz,SRR30613661,SRP305758,PRJNA701308,SAMN26237497,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,3.8,s3://human-pangenomics/working/HPRC/HG01496/raw_data/hic/HG01496-43a-2_S14_L002_R1_001.fastq.gz,11.79,HiC
