sample_id,filename,filetype,biosample_accession,library_strategy,library_source,platform,instrument_model,seq_kit,basecaller,basecaller_version,basecaller_model,modbase_model,generator_facility,generator_contact,path,read_N50,total_gbp,coverage,100kb+,whales,accession,study,bioproject_accession,production,sequencing_chemistry
HG03816,07_20_21_R941_HG03816_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706908,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03816/raw_data/nanopore/guppy_6/07_20_21_R941_HG03816_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,71008,67.87,20.57,6.47,12,SRR26304605,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03816,07_20_21_R941_HG03816_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706908,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03816/raw_data/nanopore/guppy_6/07_20_21_R941_HG03816_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,70485,99.03,30.01,9.29,4,SRR26304605,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03831,08_10_21_R941_HG03831_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237514,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03831/raw_data/nanopore/guppy_6/08_10_21_R941_HG03831_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,79360,84.42,25.58,9.56,2,SRR26313831,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG00706,07_13_21_R941_HG00706_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706905,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00706/raw_data/nanopore/guppy_6/07_13_21_R941_HG00706_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,72386,74.34,22.53,7.12,1,SRR26304608,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03831,08_10_21_R941_HG03831_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237514,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03831/raw_data/nanopore/guppy_6/08_10_21_R941_HG03831_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,81179,85.9,26.03,9.89,0,SRR26313831,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03831,08_10_21_R941_HG03831_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237514,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03831/raw_data/nanopore/guppy_6/08_10_21_R941_HG03831_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,80227,93.08,28.21,10.65,0,SRR26313831,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03927,08_10_21_R941_HG03927_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267386,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03927/raw_data/nanopore/guppy_6/08_10_21_R941_HG03927_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,78594,40.5,12.27,4.52,1,SRR26313825,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03927,08_10_21_R941_HG03927_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267386,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03927/raw_data/nanopore/guppy_6/08_10_21_R941_HG03927_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,80348,75.61,22.91,8.6,4,SRR26313825,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03927,08_10_21_R941_HG03927_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267386,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03927/raw_data/nanopore/guppy_6/08_10_21_R941_HG03927_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,84221,88.3,26.76,10.7,1,SRR26313825,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03942,07_20_21_R941_HG03942_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267387,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03942/raw_data/nanopore/guppy_6/07_20_21_R941_HG03942_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,66391,15.74,4.77,1.32,1,SRR26313819,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03942,07_20_21_R941_HG03942_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267387,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03942/raw_data/nanopore/guppy_6/07_20_21_R941_HG03942_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,66610,95.93,29.07,8.18,0,SRR26313819,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03942,07_20_21_R941_HG03942_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267387,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03942/raw_data/nanopore/guppy_6/07_20_21_R941_HG03942_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,63707,70.83,21.46,5.72,0,SRR26313819,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04115,07_27_21_R941_HG04115_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267388,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04115/raw_data/nanopore/guppy_6/07_27_21_R941_HG04115_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,79209,27.22,8.25,2.99,0,SRR26313818,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG04115,07_27_21_R941_HG04115_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267388,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04115/raw_data/nanopore/guppy_6/07_27_21_R941_HG04115_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,80416,58.04,17.59,6.57,4,SRR26313818,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
